2023-01-04 11:06:03 TAI ##________|___############|###############|##########
2023-01-04 11:06:04 TAI ###_______|_##############|###############|##########
2023-01-04 11:06:05 TAI ####______|___############|###############|##########
2023-01-04 11:06:06 TAI ##________|___######______|_______________|__########
2023-01-04 11:06:07 TAI ####______|__#############|###############|##########
2023-01-04 11:06:08 TAI ###_______|___________#___|_##############|##########
2023-01-04 11:06:09 TAI ###_______|___############|###############|#####__###
2023-01-04 11:06:10 TAI ###_______|__######___####|###############|##########
2023-01-04 11:06:11 TAI ##________|__#############|###############|##########
2023-01-04 11:06:12 TAI ###_____##|__#############|###############|##########
2023-01-04 11:06:13 TAI ###_______|____________#__|__#############|##########
2023-01-04 11:06:14 TAI ##________|__##__#########|#############__|##########
2023-01-04 11:06:15 TAI ##________|_________#_____|_##############|##########
2023-01-04 11:06:16 TAI ##________|___###_________|_______________|_#########
2023-01-04 11:06:17 TAI ######____|__#############|###############|##########
2023-01-04 11:06:18 TAI ###_______|__#############|###############|##########
2023-01-04 11:06:19 TAI ###_______|___############|###############|##########
2023-01-04 11:06:20 TAI ###_______|___############|###############|##########
2023-01-04 11:06:21 TAI ###___##__|_##############|###########__##|##########
2023-01-04 11:06:22 TAI ###_______|___############|###############|##########
2023-01-04 11:06:23 TAI ##________|_##############|###############|##########
2023-01-04 11:06:24 TAI ###__#____|_______________|__#############|##########
2023-01-04 11:06:25 TAI ###___#___|__#############|###############|##########
2023-01-04 11:06:26 TAI ###_______|_______________|_______#______#|##########
2023-01-04 11:06:27 TAI ###_____#_|____###########|###############|##########
2023-01-04 11:06:28 TAI ###_______|___############|###############|##########
2023-01-04 11:06:29 TAI ###_______|_____##________|__#############|##########
2023-01-04 11:06:30 TAI ##________|__##########_#_|#_#__###_######|######_###
2023-01-04 11:06:31 TAI ##______#_|###############|###############|##########
2023-01-04 11:06:32 TAI #######___|_____####_#####|###############|##########
2023-01-04 11:06:33 TAI ##________|__#############|###############|##########
2023-01-04 11:06:34 TAI ##_____##_|_##############|###############|##########
2023-01-04 11:06:35 TAI ##________|__#############|###############|##########
2023-01-04 11:06:36 TAI #####____#|_______________|____#__________|__########
2023-01-04 11:06:37 TAI ####_#____|_______________|_______________|___#######
2023-01-04 11:06:38 TAI ###_______|_##############|###############|##########
2023-01-04 11:06:39 TAI ###_______|_##############|###############|##########
2023-01-04 11:06:40 TAI ###_______|__#############|###############|##########
